"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @backendoc: if you’re uber eats driver is walking just cancel the food bro… https://t.co/QVRL518UHV",FALSE,0,NA,2022-11-30 03:14:51,FALSE,NA,"1597791239268667392",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LancelotP__",3510,TRUE,FALSE,NA,NA
"2","RT @nakedspiritrun: We’re uber proud to see such a great turnout at our first Tanggathon session last night. Thank you everyone for coming…",FALSE,0,NA,2022-11-30 03:14:50,FALSE,NA,"1597791235783413760",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","twtjogging",2,TRUE,FALSE,NA,NA
"3","@Paulalou1 We’d like to take a look into this. We’ve sent you a Direct Message, please check your inbox. Thank you.",FALSE,0,"Paulalou1",2022-11-30 03:14:50,FALSE,"1597788124847177728","1597791235548356608","598944218","<a href=""https://www.sprinklr.com"" rel=""nofollow"">Sprinklr</a>","Uber_Support",0,FALSE,FALSE,NA,NA
"4","RT @backendoc: if you’re uber eats driver is walking just cancel the food bro… https://t.co/QVRL518UHV",FALSE,0,NA,2022-11-30 03:14:42,FALSE,NA,"1597791200664113154",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","iHex_",3510,TRUE,FALSE,NA,NA
"5","RT @Victorshi2020: NEW: @VotersTomorrow just announced our partnership with Uber to offer young voters in Georgia free rides to &amp; from poll…",FALSE,0,NA,2022-11-30 03:14:39,FALSE,NA,"1597791189906116615",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","zunran",3257,TRUE,FALSE,NA,NA
"6","RT @Victorshi2020: NEW: @VotersTomorrow just announced our partnership with Uber to offer young voters in Georgia free rides to &amp; from poll…",FALSE,0,NA,2022-11-30 03:14:39,FALSE,NA,"1597791187431456768",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","MasterRBert",3257,TRUE,FALSE,NA,NA
"7","RT @backendoc: if you’re uber eats driver is walking just cancel the food bro… https://t.co/QVRL518UHV",FALSE,0,NA,2022-11-30 03:14:38,FALSE,NA,"1597791184428355584",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ShadowS084",3510,TRUE,FALSE,NA,NA
"8","RT @backendoc: if you’re uber eats driver is walking just cancel the food bro… https://t.co/QVRL518UHV",FALSE,0,NA,2022-11-30 03:14:37,FALSE,NA,"1597791180280201217",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoshPolgar",3510,TRUE,FALSE,NA,NA
"9","@YouTube  Dont You have any other adds other than Facenook, Uber, Viber, snapchat?. Facebook add is showing &amp; annoy… https://t.co/66rwNDCho5",FALSE,0,"YouTube",2022-11-30 03:14:29,TRUE,NA,"1597791146692214784","10228272","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BranaMurugu",0,FALSE,FALSE,NA,NA
"10","@fomocapdao Her Uber eats commercial is worse, mentions it’s her favorite “cult”",FALSE,0,"fomocapdao",2022-11-30 03:14:27,FALSE,"1597786307501363200","1597791139590905856","31618785","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","isorodcapital",0,FALSE,FALSE,NA,NA
"11","RT @___Wordsmiff___: You don’t order Uber Eats for a few days they start getting aggressive w the notifications. “YOU KNOW YOU AINT EAT TOD…",FALSE,0,NA,2022-11-30 03:14:21,FALSE,NA,"1597791114433802240",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RakibuWayne",9,TRUE,FALSE,NA,NA
"12","RT @backendoc: if you’re uber eats driver is walking just cancel the food bro… https://t.co/QVRL518UHV",FALSE,0,NA,2022-11-30 03:14:14,FALSE,NA,"1597791083160776705",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MegatenMaiden",3510,TRUE,FALSE,NA,NA
"13","RT @backendoc: if you’re uber eats driver is walking just cancel the food bro… https://t.co/QVRL518UHV",FALSE,0,NA,2022-11-30 03:13:57,FALSE,NA,"1597791014139592704",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sadbabysins",3510,TRUE,FALSE,NA,NA
"14","update: listening to twin flame and sobbing in the uber",FALSE,0,NA,2022-11-30 03:13:50,FALSE,NA,"1597790982178996226",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fin0fish",0,FALSE,FALSE,NA,NA
"15","RT @backendoc: if you’re uber eats driver is walking just cancel the food bro… https://t.co/QVRL518UHV",FALSE,0,NA,2022-11-30 03:13:49,FALSE,NA,"1597790980295774209",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AnitaOT7",3510,TRUE,FALSE,NA,NA
"16","Delhi Police asks Uber to verify drivers before onboarding them, check
alcohol level before ride
Devdiscourse
We te… https://t.co/a412fZ3SpY",FALSE,0,NA,2022-11-30 03:13:47,TRUE,NA,"1597790969994379266",NA,"<a href=""https://twitter.com/boozzoman"" rel=""nofollow"">ForSoberWorld</a>","boozzoman",0,FALSE,FALSE,NA,NA
"17","RT @backendoc: if you’re uber eats driver is walking just cancel the food bro… https://t.co/QVRL518UHV",FALSE,0,NA,2022-11-30 03:13:47,FALSE,NA,"1597790969575137281",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Ibeenugly",3510,TRUE,FALSE,NA,NA
"18","RT @backendoc: if you’re uber eats driver is walking just cancel the food bro… https://t.co/QVRL518UHV",FALSE,0,NA,2022-11-30 03:13:43,FALSE,NA,"1597790952621768705",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Snails",3510,TRUE,FALSE,NA,NA
"19","RT @backendoc: if you’re uber eats driver is walking just cancel the food bro… https://t.co/QVRL518UHV",FALSE,0,NA,2022-11-30 03:13:42,FALSE,NA,"1597790947542114304",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","capt_princess",3509,TRUE,FALSE,NA,NA
"20","RT @Human400196191: @Uber @Uber_Support
just nowbook aridw driver not come to loction and he he stayvsome way and canclled trip uber and ca…",FALSE,0,NA,2022-11-30 03:13:39,FALSE,NA,"1597790937534849024",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Human400196191",1,TRUE,FALSE,NA,NA
"21","RT @Victorshi2020: NEW: @VotersTomorrow just announced our partnership with Uber to offer young voters in Georgia free rides to &amp; from poll…",FALSE,0,NA,2022-11-30 03:13:36,FALSE,NA,"1597790925148790785",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","brettturner57",3257,TRUE,FALSE,NA,NA
"22","RT @backendoc: if you’re uber eats driver is walking just cancel the food bro… https://t.co/QVRL518UHV",FALSE,0,NA,2022-11-30 03:13:33,FALSE,NA,"1597790910586425344",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jasmyncabbage",3510,TRUE,FALSE,NA,NA
"23","@MrStevenSteele @elonmusk @farzyness Taking a huge chunk of every sale while using hardware and your OS to force pe… https://t.co/2ZWGpHwOKT",FALSE,0,"MrStevenSteele",2022-11-30 03:13:32,TRUE,"1597786500090843138","1597790908384411648","1452801284243869697","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RubberCute",0,FALSE,FALSE,NA,NA
"24","@OfficialE_Money I will like to buy a tokunbo corolla for uber business I know that 1m can't be anoff I will add my little change on it",FALSE,0,"OfficialE_Money",2022-11-30 03:13:30,FALSE,"1597770854250995712","1597790899261825024","1595234680999133184","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MbaMba_Cash1",0,FALSE,FALSE,NA,NA
"25","RT @backendoc: if you’re uber eats driver is walking just cancel the food bro… https://t.co/QVRL518UHV",FALSE,0,NA,2022-11-30 03:13:28,FALSE,NA,"1597790891686912005",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","pIayingtofu",3510,TRUE,FALSE,NA,NA
"26","RT @backendoc: if you’re uber eats driver is walking just cancel the food bro… https://t.co/QVRL518UHV",FALSE,0,NA,2022-11-30 03:13:28,FALSE,NA,"1597790891431047168",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","AliveJosey",3510,TRUE,FALSE,NA,NA
"27","RT @backendoc: if you’re uber eats driver is walking just cancel the food bro… https://t.co/QVRL518UHV",FALSE,0,NA,2022-11-30 03:13:27,FALSE,NA,"1597790884577148928",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","mysticnamja",3509,TRUE,FALSE,NA,NA
"28","RT @bsk5496: Noww thats a screammmer! Swaaaggg written all over with Vijay, Thalapathy swag this! Andha hand la tea glass giving a local fl…",FALSE,0,NA,2022-11-30 03:13:15,FALSE,NA,"1597790834640158720",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BeastArjun94",51,TRUE,FALSE,NA,NA
"29","RT @Victorshi2020: NEW: @VotersTomorrow just announced our partnership with Uber to offer young voters in Georgia free rides to &amp; from poll…",FALSE,0,NA,2022-11-30 03:13:15,FALSE,NA,"1597790834161614849",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","marialenaj2",3257,TRUE,FALSE,NA,NA
"30","RT @justin_fenton: Baltimore Police say they are investigating a string of robberies in which a ride share drivers are carjacked, then the…",FALSE,0,NA,2022-11-30 03:13:14,FALSE,NA,"1597790831230046208",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KedaKins",173,TRUE,FALSE,NA,NA
"31","RT @___Wordsmiff___: You don’t order Uber Eats for a few days they start getting aggressive w the notifications. “YOU KNOW YOU AINT EAT TOD…",FALSE,0,NA,2022-11-30 03:13:11,FALSE,NA,"1597790817384423424",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","YooMarsh",9,TRUE,FALSE,NA,NA
"32","RT @Kamogelo_MN: Lol wait till y'all find out that uber drivers are also bolt drivers. Maybe then you guys will stop asking people this que…",FALSE,0,NA,2022-11-30 03:13:04,FALSE,NA,"1597790791837323266",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Mandjesty",462,TRUE,FALSE,NA,NA
"33","RT @QTRResearch: Think about being an Uber driver that gets a $600 Venmo payout that the Treasury publicly targets you for. 

Now think abo…",FALSE,0,NA,2022-11-30 03:13:02,FALSE,NA,"1597790781301223424",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","luv2bemom",50,TRUE,FALSE,NA,NA
"34","RT @backendoc: if you’re uber eats driver is walking just cancel the food bro… https://t.co/QVRL518UHV",FALSE,0,NA,2022-11-30 03:13:01,FALSE,NA,"1597790777517539329",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BiClownery",3510,TRUE,FALSE,NA,NA
"35","RT @QTRResearch: Think about being an Uber driver that gets a $600 Venmo payout that the Treasury publicly targets you for. 

Now think abo…",FALSE,0,NA,2022-11-30 03:13:00,FALSE,NA,"1597790775181742080",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","joiflores",50,TRUE,FALSE,NA,NA
"36","RT @Victorshi2020: NEW: @VotersTomorrow just announced our partnership with Uber to offer young voters in Georgia free rides to &amp; from poll…",FALSE,0,NA,2022-11-30 03:12:57,FALSE,NA,"1597790760661028867",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ConnieInAmerica",3257,TRUE,FALSE,NA,NA
"37","@sunreverie uber",FALSE,1,"sunreverie",2022-11-30 03:12:57,FALSE,"1597592222488485888","1597790759469477889","341196280","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","shaargtz",0,FALSE,FALSE,NA,NA
"38","Oh my god….. to not leave it at stealing the car but then also being a fake Uber driver and robbing the RIDERS is c… https://t.co/ae0MlNRkYk",FALSE,0,NA,2022-11-30 03:12:55,TRUE,NA,"1597790753404899330",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","supreme_mack",0,FALSE,FALSE,NA,NA
"39","RT @backendoc: if you’re uber eats driver is walking just cancel the food bro… https://t.co/QVRL518UHV",FALSE,0,NA,2022-11-30 03:12:45,FALSE,NA,"1597790710987907072",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alexlazerwang",3509,TRUE,FALSE,NA,NA
"40","RT @QTRResearch: Think about being an Uber driver that gets a $600 Venmo payout that the Treasury publicly targets you for. 

Now think abo…",FALSE,0,NA,2022-11-30 03:12:42,FALSE,NA,"1597790699491295232",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ZindandanS",50,TRUE,FALSE,NA,NA
"41","@Uber I met with an accident in uber shuttle. Shuttle door was not having any stopper. Driver start the bus while s… https://t.co/D4BBPb3cB7",FALSE,0,"Uber",2022-11-30 03:12:37,TRUE,NA,"1597790676393291777","19103481","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Govind27538947",0,FALSE,FALSE,NA,NA
"42","RT @BlackJuda01: Ladies please don’t request Uber/Bolt if you don’t have money to pay. It’s not all drivers who will accept Clito currency.…",FALSE,0,NA,2022-11-30 03:12:34,FALSE,NA,"1597790663751651328",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BlackJuda01",1,TRUE,FALSE,NA,NA
"43","RT @Kamogelo_MN: Ene we cannot keep telling y'all that some people actually do not have a choice bc uber does not operate in all areas. 

S…",FALSE,0,NA,2022-11-30 03:12:33,FALSE,NA,"1597790661629341697",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","erratic_a",33,TRUE,FALSE,NA,NA
"44","Dear @elonmusk , I know all these person life coaches are super nervous about their blue check validation but if yo… https://t.co/TDXvPUmAQc",FALSE,0,NA,2022-11-30 03:12:28,TRUE,NA,"1597790638619107329",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Scojo100",0,FALSE,FALSE,NA,NA
"45","RT @backendoc: if you’re uber eats driver is walking just cancel the food bro… https://t.co/QVRL518UHV",FALSE,0,NA,2022-11-30 03:12:22,FALSE,NA,"1597790613327343616",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ObiTabotJr",3509,TRUE,FALSE,NA,NA
"46","RT @Victorshi2020: NEW: @VotersTomorrow just announced our partnership with Uber to offer young voters in Georgia free rides to &amp; from poll…",FALSE,0,NA,2022-11-30 03:12:20,FALSE,NA,"1597790606256136192",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Pietro34685",3257,TRUE,FALSE,NA,NA
"47","@POTUS Great job Mr president. Keep lowering gas prices so the student can make more money driving Uber and pay their student loans",FALSE,1,"POTUS",2022-11-30 03:12:16,FALSE,"1597652006625329153","1597790587331043328","1349149096909668363","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KingDavidvs",0,FALSE,FALSE,NA,NA
"48","RT @backendoc: if you’re uber eats driver is walking just cancel the food bro… https://t.co/QVRL518UHV",FALSE,0,NA,2022-11-30 03:12:12,FALSE,NA,"1597790572265500674",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","YUNG_BOO1",3510,TRUE,FALSE,NA,NA
"49","@Uber @Uber_Support
just nowbook aridw driver not come to loction and he he stayvsome way and canclled trip uber an… https://t.co/IZIHFtWjOr",FALSE,0,"Uber",2022-11-30 03:12:08,TRUE,NA,"1597790553810567169","19103481","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Human400196191",1,FALSE,FALSE,NA,NA
"50","RT @Victorshi2020: NEW: @VotersTomorrow just announced our partnership with Uber to offer young voters in Georgia free rides to &amp; from poll…",FALSE,0,NA,2022-11-30 03:12:06,FALSE,NA,"1597790548123058176",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","zedfour1",3257,TRUE,FALSE,NA,NA
"51","RT @Victorshi2020: NEW: @VotersTomorrow just announced our partnership with Uber to offer young voters in Georgia free rides to &amp; from poll…",FALSE,0,NA,2022-11-30 03:12:03,FALSE,NA,"1597790533589798912",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TonieRenee",3257,TRUE,FALSE,NA,NA
"52","RT @TizzyEnt: Remember that woman in DC who shouted racial slurs at her black Uber driver &amp; called him her slave? Here she is. https://t.co…",FALSE,0,NA,2022-11-30 03:12:02,FALSE,NA,"1597790530968387584",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lito__719",2010,TRUE,FALSE,NA,NA
"53","RT @backendoc: if you’re uber eats driver is walking just cancel the food bro… https://t.co/QVRL518UHV",FALSE,0,NA,2022-11-30 03:12:00,FALSE,NA,"1597790520163840000",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Strang3Stranger",3509,TRUE,FALSE,NA,NA
"54","My last two Uber drivers have been going on some hella conservative rants aaaaaandddddd I’m just here like bro … Shut. UP.",FALSE,0,NA,2022-11-30 03:11:51,FALSE,NA,"1597790484008734720",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mendozamoises19",0,FALSE,FALSE,NA,NA
"55","RT @Victorshi2020: NEW: @VotersTomorrow just announced our partnership with Uber to offer young voters in Georgia free rides to &amp; from poll…",FALSE,0,NA,2022-11-30 03:11:50,FALSE,NA,"1597790479168704513",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mylististoolong",3257,TRUE,FALSE,NA,NA
"56","every single uber driver I’ve had in miami has actively tried to kill me with  their driving",FALSE,0,NA,2022-11-30 03:11:50,FALSE,NA,"1597790478715748353",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nottodayankles",0,FALSE,FALSE,NA,NA
"57","@Uber_Support Mobile number/ email address/ name -
All the details requested provided but no solution offered. Bcz… https://t.co/cmBQ4Hi8er",FALSE,0,"Uber_Support",2022-11-30 03:11:46,TRUE,"1597465766462357506","1597790462156640256","2815754953","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Erica_Tuscano",0,FALSE,FALSE,NA,NA
"58","RT @VijayIsMyLife: #ThalapathyVijay strikes an uber-cool pose which is full of swag in the new #Varisu poster. 🔥

Ground promotions will st…",FALSE,0,NA,2022-11-30 03:11:39,FALSE,NA,"1597790432754159621",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mohamme89211133",276,TRUE,FALSE,NA,NA
"59","RT @backendoc: if you’re uber eats driver is walking just cancel the food bro… https://t.co/QVRL518UHV",FALSE,0,NA,2022-11-30 03:11:38,FALSE,NA,"1597790429109420036",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nativepimpact",3510,TRUE,FALSE,NA,NA
"60","@whitespeaking @Olacabs Sorry for the trouble u have been through. This is a regular feature with Ola &amp; Uber. They… https://t.co/9lOoTrA99T",FALSE,0,"whitespeaking",2022-11-30 03:11:38,TRUE,"1597781691338133505","1597790428614385664","87029849","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","spiritofsandy",0,FALSE,FALSE,NA,NA
"61","RT @backendoc: if you’re uber eats driver is walking just cancel the food bro… https://t.co/QVRL518UHV",FALSE,0,NA,2022-11-30 03:11:35,FALSE,NA,"1597790416270635008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Lil_MitrioZzZ",3510,TRUE,FALSE,NA,NA
"62","RT @backendoc: if you’re uber eats driver is walking just cancel the food bro… https://t.co/QVRL518UHV",FALSE,0,NA,2022-11-30 03:11:32,FALSE,NA,"1597790403037925376",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jylarj4567",3510,TRUE,FALSE,NA,NA
"63","RT @pythonml84: @Uber_Support  explain to me why I don’t use a yellow cab out of JFK ? 13 minute wait when all the illegal cabs down stairs…",FALSE,0,NA,2022-11-30 03:11:31,FALSE,NA,"1597790400780980224",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RideSafeWorld",1,TRUE,FALSE,NA,NA
"64","Up. Believe uber successful
؟?
نمشے

🔹H4🔹
🔹H4🔹
🔹H4🔹",FALSE,0,NA,2022-11-30 03:11:31,FALSE,NA,"1597790400743460865",NA,"<a href=""http://www.echofon.com"" rel=""nofollow"">Echofon  Android</a>","LRAQ1235",0,FALSE,FALSE,NA,NA
"65","RT @Victorshi2020: All you need to do is use the code “VoteGA” in the Uber app or click https://t.co/kLbSCot288, get a ride to your polling…",FALSE,0,NA,2022-11-30 03:11:29,FALSE,NA,"1597790392296275968",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","COIndependent1",367,TRUE,FALSE,NA,NA
"66","RT @backendoc: if you’re uber eats driver is walking just cancel the food bro… https://t.co/QVRL518UHV",FALSE,0,NA,2022-11-30 03:11:26,FALSE,NA,"1597790377460715521",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","charlgvevo",3509,TRUE,FALSE,NA,NA
"67","RT @justin_fenton: Baltimore Police say they are investigating a string of robberies in which a ride share drivers are carjacked, then the…",FALSE,0,NA,2022-11-30 03:11:21,FALSE,NA,"1597790358976356353",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ohKAYx33",173,TRUE,FALSE,NA,NA
"68","RT @backendoc: if you’re uber eats driver is walking just cancel the food bro… https://t.co/QVRL518UHV",FALSE,0,NA,2022-11-30 03:11:21,FALSE,NA,"1597790358573789185",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DwaynebillyC",3510,TRUE,FALSE,NA,NA
"69","RT @backendoc: if you’re uber eats driver is walking just cancel the food bro… https://t.co/QVRL518UHV",FALSE,0,NA,2022-11-30 03:11:21,FALSE,NA,"1597790357911207936",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","caesar_ldn",3510,TRUE,FALSE,NA,NA
"70","RT @Wasted_Elmo: @Uber_Support  and @uber is a disgrace of a platform to work for full time cause they care less about the driver cause i w…",FALSE,0,NA,2022-11-30 03:11:16,FALSE,NA,"1597790338017542145",NA,"<a href=""https://gambiste.com"" rel=""nofollow"">Gambiste</a>","Gambiste1",1,TRUE,FALSE,NA,NA
"71","RT @VijayIsMyLife: #ThalapathyVijay strikes an uber-cool pose which is full of swag in the new #Varisu poster. 🔥

Ground promotions will st…",FALSE,0,NA,2022-11-30 03:11:16,FALSE,NA,"1597790335719346177",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Manikan28012300",276,TRUE,FALSE,NA,NA
"72","RT @backendoc: if you’re uber eats driver is walking just cancel the food bro… https://t.co/QVRL518UHV",FALSE,0,NA,2022-11-30 03:11:13,FALSE,NA,"1597790324751237120",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AngeloFrosty",3510,TRUE,FALSE,NA,NA
"73","RT @santiagomayer_: Lots of young people don’t have a simple way to get to the polls. 

So @VotersTomorrow and @Plus1_Vote are helping fund…",FALSE,0,NA,2022-11-30 03:11:08,FALSE,NA,"1597790303574188032",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","JeffCrowder16",275,TRUE,FALSE,NA,NA
"74","RT @Victorshi2020: NEW: @VotersTomorrow just announced our partnership with Uber to offer young voters in Georgia free rides to &amp; from poll…",FALSE,0,NA,2022-11-30 03:10:59,FALSE,NA,"1597790265963851776",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Nonnie_Linda",3257,TRUE,FALSE,NA,NA
"75","RT @santiagomayer_: NEW: @VotersTomorrow is teaming up with @Plus1_Vote to help provide free Uber rides to and from polling places in Georg…",FALSE,0,NA,2022-11-30 03:10:58,FALSE,NA,"1597790263157874688",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CapelJacqueline",137,TRUE,FALSE,NA,NA
"76","RT @backendoc: if you’re uber eats driver is walking just cancel the food bro… https://t.co/QVRL518UHV",FALSE,0,NA,2022-11-30 03:10:58,FALSE,NA,"1597790263132712963",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","SiriAimBot1",3510,TRUE,FALSE,NA,NA
"77","RT @backendoc: if you’re uber eats driver is walking just cancel the food bro… https://t.co/QVRL518UHV",FALSE,0,NA,2022-11-30 03:10:57,FALSE,NA,"1597790256501518336",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ascott_knight",3510,TRUE,FALSE,NA,NA
"78","RT @backendoc: if you’re uber eats driver is walking just cancel the food bro… https://t.co/QVRL518UHV",FALSE,0,NA,2022-11-30 03:10:52,FALSE,NA,"1597790237966860288",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GARDENOFDELlGHT",3510,TRUE,FALSE,NA,NA
"79","Also theres an error right now in uber app

You can get a large peppermint McFlurry for 0.39

Snack size is like 4.… https://t.co/5BB4G3UjDj",FALSE,0,NA,2022-11-30 03:10:50,TRUE,NA,"1597790228315799554",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","ThugBirdNikki",0,FALSE,FALSE,NA,NA
"80","RT @VijayIsMyLife: #ThalapathyVijay strikes an uber-cool pose which is full of swag in the new #Varisu poster. 🔥

Ground promotions will st…",FALSE,0,NA,2022-11-30 03:10:44,FALSE,NA,"1597790202797654022",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JosephV71154918",276,TRUE,FALSE,NA,NA
"81","$36 for two Big Mac meals, Uber eats is demonic.",FALSE,0,NA,2022-11-30 03:10:44,FALSE,NA,"1597790202298519553",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Gr8b8P",0,FALSE,FALSE,NA,NA
"82","So I thought my Uber driver asked if I was going to a bar and I said yeah but he asked if I’m from Brazil and then… https://t.co/f1hxm6pz4M",FALSE,0,NA,2022-11-30 03:10:33,TRUE,NA,"1597790156534095872",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bnubs69",0,FALSE,FALSE,NA,NA
"83","@whynot98765 @Mollyploofkins I'm going to uber. Husband changed jobs a couple months ago. Works from home mostly bu… https://t.co/KfJj8KB3dw",FALSE,0,"whynot98765",2022-11-30 03:10:29,TRUE,"1597778857167233025","1597790139987939329","1048705894354227201","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SelinafromKC",0,FALSE,FALSE,NA,NA
